Class1;Class1.1;Class1.2;Class1.3;Class1
topGenes;topGenes;Weights;Weights;Weights
VISITA MES_25;VISITA MES_25;0.0;0.0;0.0
VISITA MES_26;VISITA MES_26;0.0;0.0;0.0
VISITA MES_27;VISITA MES_27;0.0;0.0;0.0
VISITA MES_28;VISITA MES_28;0.0;0.0;0.0
VISITA MES_29;VISITA MES_29;0.0;0.0;0.0
VISITA MES_30;VISITA MES_30;0.0;0.0;0.0
VISITA MES_31;VISITA MES_31;0.0;0.0;0.0
VISITA MES_32;VISITA MES_32;0.0;0.0;0.0
VISITA MES_33;VISITA MES_33;0.0;0.0;0.0
VISITA MES_34;VISITA MES_34;0.0;0.0;0.0
VISITA MES_35;VISITA MES_35;0.0;0.0;0.0
VISITA MES_36;VISITA MES_36;0.0;0.0;0.0
VISITA MES_37;VISITA MES_37;0.0;0.0;0.0
VISITA MES_38;VISITA MES_38;0.0;0.0;0.0
VISITA MES_39;VISITA MES_39;0.0;0.0;0.0
VISITA MES_40;VISITA MES_40;0.0;0.0;0.0
VISITA MES_41;VISITA MES_41;0.0;0.0;0.0
VISITA MES_42;VISITA MES_42;0.0;0.0;0.0
VISITA MES_43;VISITA MES_43;0.0;0.0;0.0
VISITA MES_44;VISITA MES_44;0.0;0.0;0.0
VISITA MES_45;VISITA MES_45;0.0;0.0;0.0
VISITA MES_46;VISITA MES_46;0.0;0.0;0.0
VISITA MES_47;VISITA MES_47;0.0;0.0;0.0
VISITA MES_48;VISITA MES_48;0.0;0.0;0.0
VISITA MES_49;VISITA MES_49;0.0;0.0;0.0
VISITA MES_50;VISITA MES_50;0.0;0.0;0.0
VISITA MES_51;VISITA MES_51;0.0;0.0;0.0
VISITA MES_52;VISITA MES_52;0.0;0.0;0.0
VISITA MES_53;VISITA MES_53;0.0;0.0;0.0
VISITA MES_54;VISITA MES_54;0.0;0.0;0.0
VISITA MES_55;VISITA MES_55;0.0;0.0;0.0
VISITA MES_56;VISITA MES_56;0.0;0.0;0.0
VISITA MES_57;VISITA MES_57;0.0;0.0;0.0
VISITA MES_58;VISITA MES_58;0.0;0.0;0.0
VISITA MES_59;VISITA MES_59;0.0;0.0;0.0
VISITA MES_60;VISITA MES_60;0.0;0.0;0.0
VISITA MES_61;VISITA MES_61;0.0;0.0;0.0
VISITA MES_62;VISITA MES_62;0.0;0.0;0.0
VISITA MES_63;VISITA MES_63;0.0;0.0;0.0
VISITA MES_64;VISITA MES_64;0.0;0.0;0.0
VISITA MES_65;VISITA MES_65;0.0;0.0;0.0
VISITA MES_66;VISITA MES_66;0.0;0.0;0.0
VISITA MES_67;VISITA MES_67;0.0;0.0;0.0
VISITA MES_68;VISITA MES_68;0.0;0.0;0.0
VISITA MES_69;VISITA MES_69;0.0;0.0;0.0
VISITA MES_70;VISITA MES_70;0.0;0.0;0.0
VISITA MES_71;VISITA MES_71;0.0;0.0;0.0
VISITA MES_72;VISITA MES_72;0.0;0.0;0.0
VISITA MES_73;VISITA MES_73;0.0;0.0;0.0
VISITA MES_74;VISITA MES_74;0.0;0.0;0.0
