;MSE;RMSE;MAE;Negative gap;Positive gap;WD
Fold 1;11.83053207397461;3.4395540516140475;2.6320087909698486;-2.614031433897642;0.017977355597163902;11.546915054321289
Fold 2;2.663278579711914;1.631955446607509;1.2274526357650757;-1.2153727436179802;0.012079893487554064;2.5415563583374023
Fold 3;6.7101569175720215;2.5903970578990436;1.9707828760147095;-1.8801853394329635;0.09059740856526732;6.4326982498168945
Fold 4;14.644828796386719;3.826856254994002;2.931671380996704;-2.8498932998681257;0.08177811154998796;14.191573143005371
Mean;8.962199091911316;2.8721907027786506;2.1904789209365845;-2.139870704204178;0.05060819229999331;8.67818570137024
Std;4.6170257750035235;0.8442272554136104;0.6557440177132983;0.642474406443791;0.035776747325844786;4.5090875676493045
